city,city_ascii,state_id,state_name,county_name,lat,lng,population,density,timezone,ranking,id
Rancho Grande,Rancho Grande,NM,New Mexico,Catron,33.6827,-108.8581,52,47,America/Denver,3,1840040190
Los Ojos,Los Ojos,NM,New Mexico,Rio Arriba,36.7360,-106.5670,52,14,America/Denver,3,1840024838
Yznaga,Yznaga,TX,Texas,Cameron,26.3188,-97.8153,52,3,America/Chicago,3,1840091678
Gulkana,Gulkana,AK,Alaska,Valdez-Cordova,62.2152,-145.4449,52,0,America/Anchorage,3,1840023388
Port Alexander,Port Alexander,AK,Alaska,Prince of Wales-Hyder,56.2346,-134.6532,52,5,America/Sitka,3,1840023638
East Fairview,East Fairview,ND,North Dakota,McKenzie,47.8554,-104.0375,52,52,America/Denver,3,1840023780
Souris,Souris,ND,North Dakota,Bottineau,48.9100,-100.6826,52,205,America/Chicago,3,1840001855
Barney,Barney,ND,North Dakota,Richland,46.2658,-96.9988,52,109,America/Chicago,3,1840001947
Mount Eagle,Mount Eagle,PA,Pennsylvania,Centre,40.9799,-77.7058,52,77,America/New_York,3,1840074860
New Freeport,New Freeport,PA,Pennsylvania,Greene,39.7594,-80.4279,52,30,America/New_York,3,1840026590
Smeltertown,Smeltertown,CO,Colorado,Chaffee,38.5523,-106.0085,52,137,America/Denver,3,1840094061
Laird,Laird,CO,Colorado,Yuma,40.0819,-102.1020,52,133,America/Denver,3,1840024321
Panola,Panola,IL,Illinois,Woodford,40.7829,-89.0203,52,46,America/Chicago,3,1840011946
Boykin,Boykin,GA,Georgia,Miller,31.1017,-84.6848,52,8,America/New_York,3,1840025978
Tat Momoli,Tat Momoli,AZ,Arizona,Pinal,32.6013,-111.8862,52,21,America/Phoenix,3,1840022987
Oxford,Oxford,ID,Idaho,Franklin,42.2598,-112.0177,52,76,America/Boise,3,1840020098
Bakersville,Bakersville,MD,Maryland,Washington,39.5148,-77.7570,52,395,America/New_York,3,1840024387
Lima,Lima,OK,Oklahoma,Seminole,35.1737,-96.5985,52,44,America/Chicago,3,1840021779
Winigan,Winigan,MO,Missouri,Sullivan,40.0469,-92.9017,52,40,America/Chicago,3,1840025553
Arrow Rock,Arrow Rock,MO,Missouri,Saline,39.0700,-92.9473,52,150,America/Chicago,3,1840010663
Urbank,Urbank,MN,Minnesota,Otter Tail,46.1242,-95.5104,52,30,America/Chicago,3,1840009976
Hatfield,Hatfield,MN,Minnesota,Pipestone,43.9546,-96.1905,52,7,America/Chicago,3,1840006797
Mizpah,Mizpah,MN,Minnesota,Koochiching,47.9209,-94.2132,52,6,America/Chicago,3,1840007683
Farwell,Farwell,MN,Minnesota,Pope,45.7524,-95.6189,52,78,America/Chicago,3,1840007787
Elmdale,Elmdale,KS,Kansas,Chase,38.3732,-96.6457,52,121,America/Chicago,3,1840008647
Earlton,Earlton,KS,Kansas,Neosho,37.5873,-95.4696,52,125,America/Chicago,3,1840008721
Garrison,Garrison,MT,Montana,Powell,46.5259,-112.8205,52,2,America/Denver,3,1840017353
Lake City,Lake City,SD,South Dakota,Marshall,45.7248,-97.4139,52,91,America/Chicago,3,1840002044
Ward,Ward,SD,South Dakota,Moody,44.1548,-96.4626,52,69,America/Chicago,3,1840002532
Apple Grove,Apple Grove,WV,West Virginia,Mason,38.6663,-82.1706,51,8,America/New_York,3,1840025640
Mammoth,Mammoth,WY,Wyoming,Park,44.9733,-110.6931,51,24,America/Denver,3,1840091490
Lake Roberts Heights,Lake Roberts Heights,NM,New Mexico,Grant,33.0271,-108.1382,51,25,America/Denver,3,1840040127
Chignik Lake,Chignik Lake,AK,Alaska,Lake and Peninsula,56.2631,-158.8049,51,1,America/Anchorage,3,1840092088
Niagara,Niagara,ND,North Dakota,Grand Forks,47.9983,-97.8717,51,20,America/Chicago,3,1840000105
Foster,Foster,NE,Nebraska,Pierce,42.2747,-97.6651,51,88,America/Chicago,3,1840011186
Poole,Poole,NE,Nebraska,Buffalo,40.9871,-98.9655,51,7,America/Chicago,3,1840024237
Garrison,Garrison,NE,Nebraska,Butler,41.1754,-97.1633,51,172,America/Chicago,3,1840011625
Elyria,Elyria,NE,Nebraska,Valley,41.6802,-99.0053,51,73,America/Chicago,3,1840011475
Paradise Valley,Paradise Valley,NV,Nevada,Humboldt,41.4900,-117.5323,51,1,America/Los_Angeles,3,1840094382
Snowville,Snowville,VA,Virginia,Pulaski,37.0260,-80.5739,51,9,America/New_York,3,1840024805
Parshall,Parshall,CO,Colorado,Grand,40.0555,-106.1758,51,65,America/Denver,3,1840024305
Buck Meadows,Buck Meadows,CA,California,Mariposa,37.8127,-120.0653,51,11,America/Los_Angeles,3,1840022542
Laconia,Laconia,IN,Indiana,Harrison,38.0318,-86.0855,51,389,America/Kentucky/Louisville,3,1840009822
